제공기관명,재활용센터명,재활용센터운영구분,소재지도로명주소,위도,경도
서울특별시,성동구 재활용센터,위탁,서울특별시 성동구 천호대로 78길 58,37.5569162491,127.0549690377
서울특별시,용산구 재활용센터,위탁,서울특별시 용산구 한강대로67길 22-20(한강로1가),37.53764656,126.97140300000001
서울특별시,용산구 재활용센터,위탁,서울특별시 용산구 한강대로67길 22-20(한강로1가),37.53764656,126.97140300000001
전라남도,농촌폐기물종합처리시설,직영,전라남도 담양군 담양읍 태봉로 228-73,35.33667796,126.99804640000002
경기도,동두천시 재활용선별장,직영,경기도 동두천시 강변로 872,37.94229789,127.0563814
강원도,인제군 공공재활용선별시설,위탁,강원도 인제군 북면 금강로 221,38.13766188,128.212133
대구광역시,동구자원재활용센터,위탁,대구광역시 동구 공항로31길 26(불로동),35.903514,128.63099540000002
강원도,태백시 생활자원회수센터,직영,"강원도 태백시 용정길 307(통동,위생매립지)",37.1976912,129.003658
인천광역시,연평면 소연평 재활용 선별장,직영,인천광역시 옹진군 연평면 소연평로 161-94,37.61273536,125.72045990000002
서울특별시,서대문구재활용센터,위탁,서울특별시 서대문구 연희로 292,37.5832305228,126.93639106059999
전라북도,고창군 재활용선별시설,직영,전라북도 고창군 아산면 인천강변로201-95,35.45362712,126.61994109999999
부산광역시,영도구 재활용선별장,직영,부산광역시 영도구 해양로 202,35.08794406,129.0719674
경상남도,사천시 재활용선별장,직영,경상남도 사천시 환경길 55,34.92509077,128.115744
전라남도,영암군 공공재활용선별시설,직영,전라남도 영암군 군서면 녹색환경길 374,34.80677839,126.6101002
충청북도,보은군 생활자원회수센터,직영,,36.493097,127.67586200000001
경상북도,칠고국 환경종합센터,직영,경상북도 칠곡군 왜관읍 강변대로 888,35.95678064,128.3993445
강원도,고성군생활자원회수센터,직영,강원도 고성군 죽왕면 짱고개길 253,38.3633077892,128.4819008607
경상북도,상주시 재활용품선별장,직영,경상북도 상주시 영남제일로 1408-51,36.42394039,128.19071509999998
경기도,자원새롬센터,위탁,경기도 연천군 청산면 초대로 106번길 125,37.99813896,127.08449509999998
경상북도,청도환경관리센터,직영,경상북도 청도군 매전면 중앙로 84-460,35.6348144484,128.7778449887
충청북도,진천음성 광역폐기물처리장 재활용선별시설,위탁,충청북도 음성군 맹동면 원중로 873-23,36.8871897794,127.579352
경상북도,군위군 환경괸리센터,직영,경상북도 군위군 군위읍 내량길 150,36.2367554075,128.5419161894
충청남도,서천군재활용처리시설,직영,충청남도 서천군 비인면 충서로 636,36.11779119,126.6258564
부산광역시,용우재활용센터,위탁,부산광역시 수영구 광안로7번길 42(광안동),35.15902805,129.1149138
부산광역시,신수영재활용마트,위탁,부산광역시 수영구 연수로392번길 18(광안동),35.16864148,129.1116115
부산광역시,부전식당용 중고마트,위탁,부산광역시 수영구 연수로 272(망미동),35.172830499999996,129.10039369999998
부산광역시,수영종합재활용센터,위탁,부산광역시 수영구 연수로 365(수영동),35.17085857,129.110318
부산광역시,수영구재활용센터,위탁,부산광역시 수영구 수영로741번길 12(수영동),35.1684064,129.1207317
부산광역시,"팔도중고가전,가구마트",위탁,부산광역시 수영구 수미로 62(수영동),35.17307547,129.117523
강원도,정선군쓰레기위생매립장,직영,강원도 정선군 남면 광락로 691-233,37.3073887715,128.6784795922
강원도,양구군 전처리시설,직영,강원도 양구군 남면 국토정중앙로 300,38.0707181246,128.04095287209998
경상북도,의성군공공재활용센터,직영,경상북도 의성군 의성읍 동서1길 15-1,36.34961896,128.6959101
전라남도,공공재활용 선별장,직영,전라남도 화순군 한천면 덕음로 548,35.0206946331,126.99075660620001
경상남도,진주시재활용품선별장,위탁,경상남도 진주시 내동면 유수길 75번길 27,35.12231278,128.0145891
충청북도,제천시자원관리센터,직영,충청북도 제천시 북부로 1860,37.118062,128.173947
서울특별시,재활용센터1관,위탁,서을특별시 노원구 화랑로 486,37.6191271,127.07899440000001
서울특별시,재활용센터2관,위탁,서을특별시 노원구 덕릉로 639,37.654699,127.0717395
전라남도,해남군 재활용품 선별시설,직영,전라남도 해남군 해남읍 호교길 73-265,34.5672087599,126.53768350790001
부산광역시,부산광역시 기장군 재활용선별장,위탁,부산광역시 기장군 기장읍 소정안길 84,35.206652395,129.202335
전라북도,군산시재활용선별시설,직영,전라북도 군산시 새만금북로 630-28,35.947223843,126.605833586
충청남도,논산시재활용센터,직영,충청남도 논산시 부창로 72,36.19560375,127.08560770000001
충청남도,연무읍재활용센터,직영,충청남도 논산시 연무읍 안심로 50,36.12512245,127.09903020000002
충청남도,강경읍재활용센터,직영,충청남도 논산시 강경읍 옥녀봉로 66,36.16398303,127.01515500000001
인천광역시,주안사무용가구와중고알뜰센터,위탁,인천광역시 미추홀구 인주대로 427,37.4513908919,126.68417383
인천광역시,차차차 중고가전가구마트,위탁,인천광역시 미추홀구 경인로 108,37.4659873478,126.65458694540001
경기도,평택시남부재활용센터,위탁,경기도 평택시 성동로 11번길 26,36.995207,127.09106399999999
경기도,평택시북부재활용센터,위탁,경기도 평택시 밀월로 15번길 83-10,37.0789217167,127.0514802172
경기도,평택시서부재활용센터,위탁,경기도 평택시 안중읍 서동대로 1731-3,36.9920648098,126.94018484989999
경기도,성남시 재활용선별장,위탁,경기도 성남시 분당구 탄천로 247,37.4138929,127.1183866
광주광역시,광주광역시 서구 재활용선별장,위탁,광주광역시 서구 서창둑길 166(세하동),35.1215100507,126.8264282116
광주광역시,광주광역시 북구 재활용선별장,위탁,광주광역시 북구 삼소로 205(대촌동),35.237233493699996,126.85692556069999
광주광역시,광주광역시 동구 재활용선별장,직영,광주광역시 동구 남문로 486(소태동),35.1150483773,126.93614699999999
강원도,춘천시 도시형종합폐기물처리시설 재활용선별센터,위탁,강원도 춘천시 신동면 한치로 681-1,37.799513276999996,127.68360769870002
충청남도,서산시 재활용 센터(녹색가게),위탁,"충청남도 서산시 시장1로 4-4, 2층",36.781763230900005,126.45528522629999
서울특별시,관악구 재활용센터(봉천점),위탁,서울특별시 관악구 남부순환로 1663,37.485116600000005,126.9355290662
서울특별시,관악구 재활용센터(신림점),위탁,서울특별시 관악구 남부순환로 1494,37.481902447399996,126.9165961807
서울특별시,관악구 재활용센터(신림2점),위탁,서울특별시 관악구 신림로 202,37.4754207526,126.9372603462
부산광역시,해운대구자원재활용센터,직영,부산광역시 해운대구 석대천로118(반여동),35.21765981,129.13750890000003
