,TIME 시점,A30 시도별,A30 시도별.1,A30 시도별.2,A30 시도별.3,A30 시도별.4,A30 시도별.5,A30 시도별.6,A30 시도별.7,A30 시도별.8,A30 시도별.9,A30 시도별.10,A30 시도별.11,A30 시도별.12,A30 시도별.13,A30 시도별.14,A30 시도별.15,A30 시도별.16,A30 시도별.17,A30 시도별.18,A30 시도별.19,A30 시도별.20,A30 시도별.21,A30 시도별.22,A30 시도별.23,A30 시도별.24,A30 시도별.25,A30 시도별.26,A30 시도별.27,A30 시도별.28,A30 시도별.29,A30 시도별.30,A30 시도별.31,A30 시도별.32,A30 시도별.33
172,2020. 08. 21,126,2621,8,254,4,6963,18,469,5,251,7,185,1,69,3,56,103,2307,9,104,3,93,13,237,5,63,6,53,6,1431,4,178,0,26
173,2020. 08. 22,128,2749,3,257,9,6972,22,491,11,262,5,190,3,72,1,57,95,2402,16,120,2,95,7,244,4,67,7,60,4,1435,9,187,2,28
174,2020. 08. 23,140,2889,2,259,6,6978,32,523,17,279,15,205,3,75,0,57,125,2527,15,135,3,98,10,254,0,67,14,74,2,1437,9,196,0,28
175,2020. 08. 24,97,2986,3,262,0,6978,20,543,1,280,10,215,1,76,3,60,85,2612,6,141,10,108,8,262,4,71,7,81,6,1443,1,197,0,28
176,2020. 08. 25,134,3120,3,265,5,6983,15,558,4,284,11,226,0,76,3,63,72,2684,8,149,2,110,9,271,4,75,1,82,1,1444,2,199,3,31
177,2020. 08. 26,112,3232,4,269,3,6986,27,585,7,291,7,233,2,78,0,63,98,2782,18,167,0,110,12,283,7,82,13,95,0,1444,5,204,2,33
178,2020. 08. 27,154,3386,8,277,13,6999,59,644,39,330,3,236,2,80,0,63,102,2884,14,181,1,111,15,298,2,84,13,108,4,1448,8,212,1,34
179,2020. 08. 28,146,3532,8,285,8,7007,27,671,17,347,3,239,1,81,2,65,113,2997,3,184,5,116,9,307,2,86,12,120,1,1449,4,216,2,36
180,2020. 08. 29,125,3657,6,291,6,7013,20,691,16,363,4,243,0,81,0,65,104,3101,0,184,6,122,8,315,0,86,9,129,1,1450,12,228,1,37
181,2020. 08. 30,116,3773,6,297,30,7043,13,704,2,365,6,249,3,84,1,66,80,3181,2,186,5,127,8,323,0,86,8,137,3,1453,7,235,2,39
