상호명,지점명,도로명주소,경도,위도
투썸플레이스,명동대연각타워점,"서울특별시 중구 퇴계로 97, (충무로1가)",126.98262872702499,37.56098692685379
투썸플레이스서울스퀘,,"서울특별시 중구 한강대로 416, (남대문로5가)",126.973739611968,37.5554947274348
투썸플레이스,매경미디어센터점,"서울특별시 중구 퇴계로 190, (필동1가)",126.992866976504,37.5605340828919
투썸플레이스,서울역센트럴자이점,"서울특별시 중구 만리재로 175, (만리동2가, 서울역센트럴자이)",126.96395779211299,37.5549047133766
투썸플레이스,CGV동대문,"서울특별시 중구 장충단로13길 20, (을지로6가)",127.007653750847,37.568723638007995
투썸플레이스,,"서울특별시 중구 을지로 170, (을지로4가)",126.9973081179,37.5661313217512
공차명동점,명동점,"서울특별시 중구 명동7길 12-1, (명동1가)",126.984450853325,37.564336471749
공차,코리아배재정동점,"서울특별시 중구 서소문로11길 19, (정동)",126.972075253415,37.5637788458812
공차,신세계백화점본점,"서울특별시 중구 소공로 63, (충무로1가)",126.98096592536301,37.5609095133129
공차,,"서울특별시 중구 새문안로 26, (충정로1가)",126.968763936719,37.5675073085523
공차,명동역점,"서울특별시 중구 퇴계로 109, (충무로1가)",126.98384042581301,37.5609432996426
공차,시청점,"서울특별시 중구 을지로1길 15, (을지로1가)",126.97970868170601,37.5667824588449
공차,동대문디자인플라자점,"서울특별시 중구 을지로 281, (을지로7가)",127.010889465579,37.5680029265883
공차,약수점,"서울특별시 중구 동호로 192, (신당동)",127.01063784638201,37.5553591639453
공차,페럼타워점,"서울특별시 중구 을지로5길 19, (수하동)",126.98421165250099,37.566947435712294
공차,현대아울렛동대문점,"서울특별시 중구 장충단로13길 20, (을지로6가)",127.007653750847,37.568723638007995
공차,동대문밀리오레점,"서울특별시 중구 장충단로13길 5, (을지로6가)",127.00831205518999,37.5677380221183
아이닛시/공차시,,"서울특별시 중구 을지로1길 15, (을지로1가)",126.97970868170601,37.5667824588449
공차,황학롯데캐슬점,"서울특별시 중구 청계천로 400, (황학동, 롯데캐슬)",127.021448203321,37.5708030625306
커피빈,코리아명동증권빌딩점,"서울특별시 중구 명동7길 13, (명동1가)",126.983952741813,37.564341196302706
커피빈,코리아시청역7번출구점,"서울특별시 중구 세종대로 84, (태평로2가)",126.97715929531799,37.5636518048491
커피빈,코리아을지로입구역점,"서울특별시 중구 남대문로10길 6, (수하동)",126.983227937665,37.566866884039605
커피빈코리아CBTL서울,,"서울특별시 중구 한강대로 416, (남대문로5가)",126.973739611968,37.5554947274348
커피빈,코리아남대문점,"서울특별시 중구 후암로 110, (남대문로5가)",126.974027761069,37.554289834272105
커피빈,코리아명동8나길점,"서울특별시 중구 명동8나길 20, (충무로1가)",126.98388954903,37.5614933584536
커피빈,코리아소공동삼화빌딩점,"서울특별시 중구 남대문로7길 16, (소공동)",126.981148104184,37.5641548377455
커피빈,코리아명동나인트리호텔점,"서울특별시 중구 명동8가길 20, (충무로2가)",126.98598243349899,37.5615744256292
커피빈코리아명동성당앞,,"서울특별시 중구 명동길 73, (명동1가)",126.98621571950001,37.5644057026946
커피빈코리아동대문두타,,"서울특별시 중구 장충단로 275, (을지로6가)",127.00876107145201,37.5688771077496
커피빈,코리아명동점,"서울특별시 중구 명동8길 9, (명동2가)",126.984702346934,37.563320457039396
커피빈,코리아CBTL서울스퀘어점,"서울특별시 중구 한강대로 416, (남대문로5가)",126.973739611968,37.5554947274348
커피빈,명동5호점,"서울특별시 중구 명동10길 15, (명동2가)",126.985394931198,37.5631642235302
커피빈순화점,순화점,"서울특별시 중구 통일로 78, (순화동)",126.96976016334999,37.562569291298104
롯데리아엔제리너스커피,,"서울특별시 중구 소월로 3, (남창동)",126.976373943213,37.5590046313139
엔제리너스,커피무교점,"서울특별시 중구 무교로 24, (무교동)",126.979464369811,37.568095867575394
엔제리너스,명동점,"서울특별시 중구 명동3길 10, (명동1가)",126.98368404892099,37.5641226334086
엔제리너스,롯데손해보험점,"서울특별시 중구 소월로 3, (남창동)",126.97618793850701,37.5593634354397
엔제리너스,호암아트홀점,"서울특별시 중구 서소문로 88, (순화동)",126.970974081755,37.561543680428706
엔제리너스,롯데호텔장교점,"서울특별시 중구 삼일대로 362, (장교동)",126.987899968318,37.5670872387224
롯데리아엔제리너스커피,,"서울특별시 중구 소월로 3, (남창동)",126.97618793850701,37.5593634354397
엔제리너스,을지로4가점,"서울특별시 중구 을지로 158, (을지로4가)",126.99556776905001,37.5659182981455
엔제리너스명동L7호텔점,명동L7호텔점,"서울특별시 중구 퇴계로 137, (충무로2가)",126.98695830257,37.561393584273205
엔제리너스,청구역점,"서울특별시 중구 다산로 212, (신당동)",127.015144313499,37.5620916063871
할리스커피명동2호점,명동2호점,"서울특별시 중구 명동8나길 14, (충무로1가)",126.98417187502199,37.5615408401299
할리스커피,약수역점,"서울특별시 중구 다산로 114, (신당동)",127.01040746538901,37.553951602210105
할리스,에프앤비명동점,"서울특별시 중구 명동8길 21, (명동2가)",126.98484525099899,37.562799081297705
할리스,명동퍼시픽호텔점,"서울특별시 중구 퇴계로20길 2, (남산동2가)",126.98541921235599,37.559704428125
할리스커피,명동점,"서울특별시 중구 명동8길 21, (명동2가)",126.98484525099899,37.562799081297705
할리스커피,태평로점,"서울특별시 중구 세종대로 64, (태평로2가)",126.97668435685301,37.5619627407654
할리스커피,명동성당점,"서울특별시 중구 명동길 81, (저동1가)",126.986565721711,37.5644717806723
할리스커피,충정래미안점,"서울특별시 중구 중림로 21, (중림동, 더플레이스충정로)",126.96606321521999,37.558977858590495
할리스커피,무교점,"서울특별시 중구 무교로 28, (무교동)",126.979561319745,37.5684571221495
할리스,충무로점,"서울특별시 중구 퇴계로36길 2, (필동2가)",126.99354468690599,37.560638976949704
할리스커피회현SK리더스뷰,,"서울특별시 중구 퇴계로 72, (회현동1가, 남산에스케이리더스뷰)",126.980582926744,37.5591131321314
